feature,pearson_r
atom_min_gfn2_charge_electrophilicity,0.007924700327403729
atom_min_gfn2_charge_radical,0.00792470031326438
mol_Koopman,0.007267129235303412
atom_mean_gfn2_polarisation,-0.0037807168351480886
atom_mean_gfn2_polarisation_(wet_octanol),-0.003460570861538116
atom_std_hybridisation,-0.0031768448929949955
atom_min_gfn2_charge_(water),-0.0031330647129864473
atom_mean_gfn2_polarisation_(water),-0.0030956559283569773
atom_std_gfn2_orbital_radical_softness,0.0014564240893442614
atom_max_AM1_CM1_charge,0.0011362268509636868
atom_std_gfn2_orbital_electrophilicity_softness,0.0009874022128582584
atom_std_gfn2_orbital_nucleophilicity_softness,-0.0009785799931512316
atom_mean_x,-0.0007879283847002762
