code,resl,logKa,Kd,Ki
2brb,2.1,4.86,,13.7uM
2br1,2,5.14,,7.2uM
3jvr,1.76,5.72,,1.89uM
3jvs,1.9,6.54,0.29uM,
1nvq,2,8.25,,5.6nM
3acw,1.63,4.76,,17.5uM
4ea2,2.05,6.44,,0.36uM
2zcr,1.92,6.87,,135nM
2zy1,1.78,7.4,,0.04uM
2zcq,2.38,8.82,,1.5nM
1bcu,2,3.28,0.53mM,
3bv9,1.8,5.36,,4.4uM
1oyt,1.67,7.24,,0.057uM
2zda,1.73,8.4,,4nM
3utu,1.55,10.92,,0.012nM
3u9q,1.52,4.38,,41.7uM
2yfe,2,6.63,,0.236uM
3fur,2.3,8,,10nM
3b1m,1.6,8.48,,3.3nM
2p4y,2.25,9,,1nM
3uo4,2.45,6.52,299nM,
3up2,2.3,7.4,40nM,
3e5a,2.3,8.23,,5.9nM
2wtv,2.4,8.74,,1.8nM
3myg,2.4,10.7,0.02nM,
3kgp,2.35,2.57,,2.68mM
1c5z,1.85,4.01,,97uM
1o5b,1.85,5.77,,1.7uM
1owh,1.61,7.4,,40nM
1sqa,2,9.21,,0.62nM
4jsz,1.9,2.3,,5000uM
3kwa,2,4.08,,84uM
2weg,1.1,6.5,314nM,
3ryj,1.39,7.8,16nM,
3dd0,1.48,9,,1nM
2xdl,1.98,3.1,790uM,
3b27,1.5,5.16,6.9uM,
1yc1,1.7,6.17,680nM,
3rlr,1.7,7.52,,30nM
2yki,1.67,9.46,0.35nM,
1z95,1.8,7.12,,76nM
3b68,1.9,8.4,,4nM
3b5r,1.8,8.77,,1.7nM
3b65,1.8,9.27,,0.54nM
3g0w,1.95,9.52,,0.3nM
4u4s,1.9,2.92,1200uM,
1p1q,2,4.89,12.8uM,
1syi,2.1,5.44,,3590nM
1p1n,1.6,6.8,0.16uM,
2al5,1.65,8.4,,4nM
3g2z,1.5,2.36,,4.4mM
3g31,1.7,2.89,,1.3mM
4de2,1.4,4.12,,76.0uM
4de3,1.44,5.52,,3.0uM
4de1,1.26,5.96,,1.1uM
1vso,1.85,4.72,,18.98uM
4dld,2,5.82,,1.5uM
3gbb,2.1,6.9,,126nM
3fv2,1.5,8.11,,7.7nM
3fv1,1.5,9.3,,0.5nM
4mgd,1.9,4.69,20.19uM,
2qe4,2.4,7.96,,11.0nM
1qkt,2.2,9.04,0.92nM,
2pog,1.84,9.54,,0.29nM
2p15,1.94,10.3,50pM,
2y5h,1.33,5.79,,1620nM
1lpg,2,7.09,,82nM
2xbv,1.66,8.43,3.7nM,
1z6e,1.8,9.72,,0.19nM
1mq6,2.1,11.15,,7pM
1nc3,2.2,5,,10uM
1nc1,2,6.12,,0.75uM
1y6r,2.2,10.11,,77pM
4f2w,2,11.3,,5.0pM
4f3c,1.93,11.82,,1.5pM
1uto,1.15,2.27,5.32mM,
4abg,1.52,3.57,271uM,
3gy4,1.55,5.1,8uM,
1k1i,2.2,6.58,264nM,
1o3f,1.55,7.96,,0.011uM
2yge,1.96,5.06,8.62uM,
2fxs,2,6.06,0.87uM,
2iwx,1.5,6.68,0.21uM,
2wer,1.6,7.05,90nM,
2vw5,1.9,8.52,3nM,
4kzq,2.25,6.1,788nM,
4kzu,2.1,6.5,,313nM
4j21,1.93,7.41,39nM,
4j3l,2.09,7.8,16nM,
3kr8,2.1,8.1,8nM,
2ymd,1.96,3.16,693uM,
2wnc,2.2,6.32,479nM,
2xys,1.91,7.42,,38nM
2wn9,1.75,8.52,3.0nM,
2x00,2.4,11.33,4.7pM,
3ozt,1.48,4.13,,74.9uM
3ozs,1.44,5.33,,4645nM
3oe5,1.52,6.88,,132nM
3oe4,1.49,7.47,,34nM
3nw9,1.65,9,,1nM
3ao4,1.95,2.07,8.5mM,
3zt2,1.7,2.84,1435uM,
3zsx,1.95,3.28,519uM,
4cig,1.7,3.67,214uM,
3zso,1.75,5.12,7.6uM,
3n7a,2,3.7,,200uM
4ciw,2.2,4.82,,15.0uM
3n86,1.9,5.64,,2.3uM
3n76,1.9,6.85,,0.14uM
2xb8,2.4,7.59,,26nM
4bkt,2.35,3.62,240uM,
4w9c,2.2,4.65,22.2uM,
4w9l,2.2,5.02,9.52uM,
4w9i,2.4,5.96,1.10uM,
4w9h,2.1,6.73,0.185uM,
3nq9,1.9,4.03,92.6uM,
3ueu,2.1,5.24,5.81uM,
3uev,1.9,5.89,1.29uM,
3uew,2,6.31,0.49uM,
3uex,2.1,6.92,0.12uM,
3lka,1.8,2.82,1.5mM,
3ehy,1.9,5.85,,1.4uM
3tsk,2,7.17,67nM,
3nx7,1.8,8.1,7.88nM,
4gr0,1.5,9.55,,0.28nM
3dxg,1.39,2.4,,4.0mM
3d6q,1.6,3.76,,172uM
1w4o,1.6,5.22,,6uM
1o0h,1.2,5.92,,1.2uM
1u1b,2,7.8,16nM,
